dataset,size,sample,entities_file,relationships_file,output_file,precision,recall,f1,node_precision,node_recall,node_f1,ancestor_precision,ancestor_recall,ancestor_f1,input_tokens,output_tokens,total_tokens,error
ccs,size_10,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/relationships.json,results/gpt-5/processed_data/ccs/size_10/sample_0/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_10,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/relationships.json,results/gpt-5/processed_data/ccs/size_10/sample_1/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_10,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/relationships.json,results/gpt-5/processed_data/ccs/size_10/sample_2/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_10,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/relationships.json,results/gpt-5/processed_data/ccs/size_10/sample_3/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_10,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/relationships.json,results/gpt-5/processed_data/ccs/size_10/sample_4/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_20,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/relationships.json,results/gpt-5/processed_data/ccs/size_20/sample_0/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_20,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/relationships.json,results/gpt-5/processed_data/ccs/size_20/sample_1/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_20,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/relationships.json,results/gpt-5/processed_data/ccs/size_20/sample_2/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_20,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/relationships.json,results/gpt-5/processed_data/ccs/size_20/sample_3/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_20,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/relationships.json,results/gpt-5/processed_data/ccs/size_20/sample_4/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_50,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_0/relationships.json,results/gpt-5/processed_data/ccs/size_50/sample_0/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_50,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_1/relationships.json,results/gpt-5/processed_data/ccs/size_50/sample_1/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_50,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_2/relationships.json,results/gpt-5/processed_data/ccs/size_50/sample_2/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_50,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_3/relationships.json,results/gpt-5/processed_data/ccs/size_50/sample_3/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_50,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_50/sample_4/relationships.json,results/gpt-5/processed_data/ccs/size_50/sample_4/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_100,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_100/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_100/sample_0/relationships.json,results/gpt-5/processed_data/ccs/size_100/sample_0/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
ccs,size_100,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_100/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_100/sample_1/relationships.json,results/gpt-5/processed_data/ccs/size_100/sample_1/gpt5.csv,,,,,,,,,,0,0,0,Could not import openai python package. Please install it with `pip install openai`.
