dataset,size,sample,entities_file,relationships_file,output_file,precision,recall,f1,node_precision,node_recall,node_f1,ancestor_precision,ancestor_recall,ancestor_f1,input_tokens,output_tokens,total_tokens
ccs,size_10,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_10/sample_0/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,0.85,0.9189189189189189,0,0,0
ccs,size_10,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_10/sample_1/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.8,1.0,0.888888888888889,0,0,0
ccs,size_10,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_10/sample_2/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.9,0.9473684210526316,0.45,0.45,0.45,0,0,0
ccs,size_10,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_10/sample_3/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0,0.7,0.8235294117647058,0.7567567567567567,0,0,0
ccs,size_10,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_10/sample_4/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.6,0.6666666666666666,0.631578947368421,0.9090909090909091,1.0,0.9523809523809523,0.48,0.9230769230769231,0.631578947368421,0,0,0
ccs,size_20,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_20/sample_0/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.3333333333333333,0.3157894736842105,0.3243243243243243,1.0,1.0,1.0,0.6451612903225806,0.5,0.5633802816901409,0,0,0
ccs,size_20,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_20/sample_1/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.2631578947368421,0.2631578947368421,0.2631578947368421,1.0,0.95,0.9743589743589743,0.46808510638297873,0.5789473684210527,0.5176470588235293,0,0,0
ccs,size_20,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_20/sample_2/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.5,0.631578947368421,0.5581395348837209,0.95,0.95,0.9500000000000001,0.4745762711864407,0.7368421052631579,0.577319587628866,0,0,0
ccs,size_20,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_20/sample_3/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.47368421052631576,0.47368421052631576,0.47368421052631576,1.0,1.0,1.0,0.8536585365853658,0.7954545454545454,0.8235294117647058,0,0,0
ccs,size_20,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/relationships.json,results/meta-llama__meta-llama-3_1-8b-instruct-turbo/processed_data/ccs/size_20/sample_4/meta-llama__meta-llama-3_1-8b-instruct-turbo.csv,0.42105263157894735,0.42105263157894735,0.42105263157894735,1.0,1.0,1.0,0.4444444444444444,0.6086956521739131,0.5137614678899082,0,0,0
