child,parent
Mathematics of computing,Computing Classification System
Mathematical analysis,Mathematics of computing
Continuous mathematics,Mathematics of computing
Probabilistic representations,Probability and statistics
Probability and statistics,Mathematics of computing
Statistical software,Mathematical software
Mathematical software,Mathematics of computing
Programming interfaces,Mathematics of computing
Network design principles,Network architectures
Network architectures,Networks
Solvers,Mathematical software
Security and privacy,Systems security
Human and societal aspects of security and privacy,Security and privacy
Systems security,Computing Classification System
Information systems,Networks
Emerging technologies,Computing Classification System
