dataset,size,sample,entities_file,relationships_file,output_file,precision,recall,f1,node_precision,node_recall,node_f1,ancestor_precision,ancestor_recall,ancestor_f1,input_tokens,output_tokens,total_tokens
ccs,size_10,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_0/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_10/sample_0/qwen__qwen2_5-7b-instruct-turbo.csv,0.5,0.4444444444444444,0.47058823529411764,1.0,1.0,1.0,0.8823529411764706,0.75,0.8108108108108107,0,0,0
ccs,size_10,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_1/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_10/sample_1/qwen__qwen2_5-7b-instruct-turbo.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
ccs,size_10,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_2/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_10/sample_2/qwen__qwen2_5-7b-instruct-turbo.csv,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.75,0.9,0.8181818181818182,0,0,0
ccs,size_10,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_3/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_10/sample_3/qwen__qwen2_5-7b-instruct-turbo.csv,0.75,0.6666666666666666,0.7058823529411765,1.0,1.0,1.0,0.8333333333333334,0.5882352941176471,0.6896551724137931,0,0,0
ccs,size_10,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_10/sample_4/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_10/sample_4/qwen__qwen2_5-7b-instruct-turbo.csv,0.5714285714285714,0.4444444444444444,0.5,1.0,1.0,1.0,0.5555555555555556,0.38461538461538464,0.4545454545454546,0,0,0
ccs,size_20,sample_0,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_0/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_20/sample_0/qwen__qwen2_5-7b-instruct-turbo.csv,0.5625,0.47368421052631576,0.5142857142857142,1.0,1.0,1.0,0.5555555555555556,0.375,0.44776119402985076,0,0,0
ccs,size_20,sample_1,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_1/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_20/sample_1/qwen__qwen2_5-7b-instruct-turbo.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ccs,size_20,sample_2,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_2/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_20/sample_2/qwen__qwen2_5-7b-instruct-turbo.csv,0.6875,0.5789473684210527,0.6285714285714286,1.0,0.9,0.9473684210526316,0.8709677419354839,0.7105263157894737,0.782608695652174,0,0,0
ccs,size_20,sample_3,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_3/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_20/sample_3/qwen__qwen2_5-7b-instruct-turbo.csv,0.5625,0.47368421052631576,0.5142857142857142,1.0,0.85,0.9189189189189189,0.8823529411764706,0.6818181818181818,0.7692307692307693,0,0,0
ccs,size_20,sample_4,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/entities.json,/Users/yiruizhang/Documents/kdd/data/processed_data/output_ccs/test_sets/size_20/sample_4/relationships.json,results/qwen__qwen2_5-7b-instruct-turbo/processed_data/ccs/size_20/sample_4/qwen__qwen2_5-7b-instruct-turbo.csv,0.47058823529411764,0.42105263157894735,0.4444444444444444,1.0,0.9,0.9473684210526316,0.5853658536585366,0.5217391304347826,0.5517241379310345,0,0,0
